partner_id,partner_name,partner_type,geo,deal_type_primary,deal_type_secondary,contact_role,contact_url,priority,status,why_us,why_them,potential_mrr_est,notes
PART-01,Stripe Connect,payment_processor,global,marketplace_listing,integration,Partnerships Lead - SaaS Vertical,https://stripe.com/partners/become-a-partner,P1,not_started,"Their Connect customers (marketplaces with contractor payouts) face KYC + tax + classification compliance issues. We integrate cleanly.","Adds compliance layer that Stripe doesn't want to build. App store listing surfaces us to high-intent buyers.",2-8k,Apply via partner form first; long process 3-6 mo; high signal value
PART-02,Wise Business,payment_processor,global,integration,revshare,Business Partnerships,https://wise.com/business/partners,P1,not_started,Their multi-currency payout customers send to contractors abroad - need classification + compliant invoicing,Adds revenue-share + retention,1-4k,SMB-friendly; faster cycle than Stripe
PART-03,Mollie,payment_processor,EU,integration,marketplace_listing,Partnerships Manager,https://www.mollie.com/about/partners,P2,not_started,EU SMB focus matches DE+PL+UK ICP,Adds vertical app to their connector ecosystem,1-3k,Smaller surface than Stripe; lighter approval
PART-04,Revolut Business,payment_processor,EU+UK,integration,referral,Partner Ecosystem,https://www.revolut.com/business/partner-program,P2,not_started,UK contractor + freelancer focus aligns,Cross-sell to their UK contractor customer base,1-3k,UK-strong
PART-05,Tipalti,payment_processor,global,integration,revshare,Channel Sales,https://tipalti.com/partners,P2,not_started,Mid-market accounts payable + 1099/contractor focus,Compliance feature gap they don't fill,3-10k,Enterprise sales motion 6-12 mo
PART-06,inFakt,invoicing_pl,PL,integration,marketplace_listing,Partnerships Manager,https://infakt.pl/wspolpraca/,P0,not_started,PL B2B contractor invoicing market leader - their customers need KSeF + classification,Adds our compliance layer to their invoicing tool,1-2k,FASTEST PL win; warm intro via founder LinkedIn possible
PART-07,Fakturownia,invoicing_pl,PL,integration,referral,Business Development,https://fakturownia.pl/kontakt,P1,not_started,Second-largest PL invoicing SaaS - same need as inFakt,Compliance differentiator,0.5-2k,Slower than inFakt
PART-08,wfirma.pl,invoicing_pl,PL,integration,revshare,Partnerships,https://wfirma.pl/kontakt,P2,not_started,PL all-in-one micro-business platform,Adds contractor management to their suite,0.5-1.5k,Lower volume than inFakt/Fakturownia
PART-09,DATEV eG,accounting_de,DE,integration,referral,Marketplace Partner Program,https://www.datev.de/web/de/partner/,P0,not_started,DE Steuerberater market dominator - 70%+ market share. Their clients are Mittelstand facing Scheinselbst. risk,Adds API-driven compliance to their suite via DATEVconnect,4-10k,STRATEGIC DE win; long process 6-12 mo; massive ROI if landed
PART-10,Lexware (Haufe Group),accounting_de,DE,integration,marketplace_listing,Partner Manager,https://www.lexware.de/partner/,P1,not_started,DE small-business accounting + payroll - sweet spot for our DE-SMB cell,Compliance layer they lack,1-3k,Faster than DATEV; easier approval
PART-11,sevDesk,accounting_de,DE,integration,marketplace_listing,Partnerships,https://sevdesk.de/partner/,P2,not_started,DE SaaS accounting platform with growing API surface,Vertical add-on,0.5-2k,Modern API; easier integration
PART-12,Xero,accounting_uk,UK,integration,marketplace_listing,App Marketplace,https://www.xero.com/uk/partner-programs/app-partners/,P1,not_started,UK SMB accounting standard - 500k UK businesses,High-discoverability marketplace,1-4k,App marketplace listing established channel; certification process 4-8 wk
PART-13,FreeAgent,accounting_uk,UK,integration,referral,Partner Program,https://www.freeagent.com/partners/,P2,not_started,UK freelancer + small-business focus - high contractor density,Vertical add-on,0.5-2k,Smaller than Xero
PART-14,QuickBooks UK,accounting_uk,UK,marketplace_listing,integration,App Partner Manager,https://quickbooks.intuit.com/app/apps,P2,not_started,Intuit UK SMB tool,Standard marketplace,0.5-2k,Intuit approval process slow 3-6 mo
PART-15,Zoho Books (Gulf),accounting_gulf,AE+SA,integration,marketplace_listing,Marketplace Partnership,https://www.zoho.com/marketplace/become-a-partner.html,P1,not_started,Strong Gulf SMB market share; multilingual,Easier path into Gulf than direct sales,0.5-2k,Listing is straightforward; Gulf SMB tend to use Zoho
PART-16,Wafeq,accounting_gulf,AE+SA,integration,referral,Partnerships,https://www.wafeq.com/,P1,not_started,Saudi+UAE native invoicing tool - ZATCA-compliant,Adds contractor classification + Saudization layer,1-3k,Native Gulf player; warm path
PART-17,Hala (Saudi WPS),payroll_gulf,SA,integration,revshare,Partner Network,https://hala.com/business,P1,not_started,Saudi WPS payment + payroll - direct contractor flow,Compliance + Saudization dashboard add,2-5k,High strategic fit for SA market
PART-18,Bayzat,hrtech_gulf,AE,integration,referral,Partnership Lead,https://www.bayzat.com/partners/,P1,not_started,UAE HR + payroll - mid-market focus,Vertical compliance,1-3k,Strong UAE brand
PART-19,Personio,hrtech_de,DE,integration,referral,Marketplace Partner,https://www.personio.com/partner/,P1,not_started,DE Mittelstand HR standard - 8000+ customers,Vertical compliance ecosystem,2-6k,High strategic fit; marketplace listing established
PART-20,HiBob,hrtech_uk,UK,integration,referral,Tech Partnerships,https://www.hibob.com/partners/,P2,not_started,UK mid-market HR with contractor module,Compliance add-on,1-3k,Established marketplace
PART-21,Deel,competitor_adjacent,global,marketplace_listing,referral,Partner Ecosystem,https://www.deel.com/partners,P2,not_started,Deel underserves jurisdictional compliance edge cases (PL B2B / DE Scheinselbst / SA Nitaqat). We fill that.,Their customers ask for these features they don't fully solve,1-3k,Risky - competitor; but their marketplace welcomes complement apps
PART-22,Remote.com,competitor_adjacent,global,marketplace_listing,referral,Partnerships,https://remote.com/partners,P2,not_started,Same dynamic as Deel,Same as Deel,1-3k,Competitor but adjacent
PART-23,Velocity Global,competitor_adjacent,global,referral,—,Channel Sales,https://velocityglobal.com/partners/,P3,not_started,Enterprise EOR - they reject SMB. We fit the rejection pool.,Their reject queue is our ICP,1-4k,Lower priority; manual relationship
PART-24,Multiplier,competitor_adjacent,global,referral,marketplace_listing,Strategic Partnerships,https://www.usemultiplier.com/,P3,not_started,Mid-market EOR - similar dynamic,Same,0.5-2k,Lower priority
