asset_id,asset,owner,priority,target_date,status,format,location_target,detailed_spec,blocker_for
ASSET-01,Loom demo video EN (2-3 min),Mateusz,P0,2026-06-08,not_started,Loom public URL,paste link here when ready,"2-3 min screen recording of 1 hero flow: contractor onboarding -> classification verdict -> e-invoice generated. Show real UI not slides. Public Loom URL with email capture OFF.",first send
ASSET-02,Loom demo video DE,Mateusz,P1,2026-06-12,not_started,Loom public URL,paste link,Same flow as EN with German voiceover. Optional - can ship DE wave with EN demo + DE pitch deck.,DE first send
ASSET-03,Loom demo video PL,Mateusz,P1,2026-06-12,not_started,Loom public URL,paste link,Same flow with Polish voiceover.,PL first send
ASSET-04,One-pager PDF EN,Mateusz + design,P0,2026-06-10,not_started,PDF hosted at https://contractor-ops.com/one-pager-en.pdf,Brand domain,"1 page. Headline (who/what/value). 3 problems ICP feels. 3 solutions. 2-3 proof points (logos OR stat OR design-partner program). CTA + calendar link. Format: Canva / Figma -> PDF export.",first send
ASSET-05,One-pager PDF DE,Mateusz + DE proofreader,P0,2026-06-10,not_started,PDF hosted at https://contractor-ops.com/one-pager-de.pdf,Brand domain,"Translated + jurisdiction-flavored: lead with Scheinselbststaendigkeit / DSGVO / Wachstumschancengesetz e-invoicing. Native DE proofread required.",DE first send
ASSET-06,One-pager PDF PL,Mateusz,P0,2026-06-10,not_started,PDF hosted at https://contractor-ops.com/one-pager-pl.pdf,Brand domain,"Lead with KSeF (2026 mandatory) + B2B umowa compliance. Native PL.",PL first send
ASSET-07,Cal.com booking link,Mateusz,P0,2026-06-06,not_started,Cal.com URL,paste link,"Single event type: '15-min intro - contractor-ops'. Settings: 15 min duration, 15 min buffer, auto-confirm, Europe/Warsaw timezone, max 4 bookings/day, ask 'Company + role + what you want to solve' as intake question.",first send
ASSET-08,Sending domains purchased + DNS configured,Mateusz,P0,2026-06-07,not_started,Cloudflare registrar,getcontractorops.com + contractorops.io,"Buy 2 alt domains. Apply DNS records from domains.csv tab. Verify Google Workspace setup for 1 mailbox per domain.",sending start
ASSET-09,Google Workspace mailboxes (Starter tier),Mateusz,P0,2026-06-08,not_started,Google Workspace Business Starter,2 mailboxes,"mateusz@getcontractorops.com (DE+PL primary) + mateusz@contractorops.io (EN+Gulf primary). PLN pricing: 18.90 zl/user/mo first 3 months (50% promo) then 37.80 zl/user/mo. 2 users = 37.80 zl promo / 75.60 zl normal per month (~USD 9.50 / 19). Start MONTHLY billing to keep 50% promo; switch to annual after 90 days if campaign continues (additional 16% off). NOT Standard/Plus/Enterprise - Starter 30 GB + Gmail SMTP + basic AI Gemini is enough; meeting recording / NotebookLM / Vault unused for cold outreach. Configure full name + photo + email signature per language in each mailbox.",sending start
ASSET-10,Instantly.ai Growth subscription + warmup,Mateusz,P0,2026-06-08,warmup_window_3wk,Instantly Growth tier,instantly.ai,"USD 47/mo (monthly billing). Includes unlimited email accounts + unlimited warmup + 5000 emails/mo + 1000 uploaded contacts. Connect both mailboxes. Enable warmup feature - 3 weeks before any cold send. Set daily ramp 5 -> 50 emails per inbox. Upgrade to Hypergrowth (USD 97/mo) only at sub-wave 2 if contact cap hit.",sending start (3 wk gate)
