priority,proposed_domain,registrar_suggestion,rationale,monthly_cost_usd,dns_record_type,dns_record_name,dns_record_value,dns_record_priority,dns_record_notes
1,getcontractorops.com,Cloudflare Registrar,Sales-action naming convention - standard for cold outreach domains; signals 'try / get started'; protects primary contractor-ops.com brand domain reputation,1,MX,@,smtp.google.com,1,Google Workspace primary MX
1,getcontractorops.com,Cloudflare Registrar,,,MX,@,smtp.google.com,5,Google Workspace secondary MX (5/10/10)
1,getcontractorops.com,Cloudflare Registrar,,,TXT,@,v=spf1 include:_spf.google.com ~all,,SPF record - softfail tilde during warmup
1,getcontractorops.com,Cloudflare Registrar,,,TXT,google._domainkey,(generated by Workspace - paste DKIM public key here after Workspace setup),,DKIM - 2048-bit
1,getcontractorops.com,Cloudflare Registrar,,,TXT,_dmarc,v=DMARC1; p=none; rua=mailto:dmarc@contractor-ops.com; fo=1,,DMARC policy=none first 4 weeks - escalate to quarantine after clean rua reports
1,getcontractorops.com,Cloudflare Registrar,,,TXT,@,(verification token from Workspace),,Domain ownership verification
1,getcontractorops.com,Cloudflare Registrar,,,A,@,(redirect to contractor-ops.com via 301),,Web redirect so domain shows as legit when prospect clicks
2,contractorops.io,Cloudflare Registrar,Tech-credibility naming - signals SaaS/platform; backup sending domain; .io carries some delivery risk in DE so primary EN+Gulf sends,3,MX,@,smtp.google.com,1,Google Workspace primary MX
2,contractorops.io,Cloudflare Registrar,,,MX,@,smtp.google.com,5,Google Workspace secondary MX
2,contractorops.io,Cloudflare Registrar,,,TXT,@,v=spf1 include:_spf.google.com ~all,,SPF
2,contractorops.io,Cloudflare Registrar,,,TXT,google._domainkey,(DKIM key from Workspace),,DKIM
2,contractorops.io,Cloudflare Registrar,,,TXT,_dmarc,v=DMARC1; p=none; rua=mailto:dmarc@contractor-ops.com; fo=1,,DMARC
2,contractorops.io,Cloudflare Registrar,,,TXT,@,(Workspace verification),,Verification
2,contractorops.io,Cloudflare Registrar,,,A,@,(301 to contractor-ops.com),,Web redirect
3,contractorops.eu,Cloudflare Registrar,NL wave-1.5 sending domain - .eu signals EU credibility for Netherlands + future EU geos; buy NOW so 3-wk warmup completes ~mid-July without delaying 24 Jun launch,1,MX,@,smtp.google.com,1,Google Workspace primary MX
3,contractorops.eu,Cloudflare Registrar,,,MX,@,smtp.google.com,5,Google Workspace secondary MX
3,contractorops.eu,Cloudflare Registrar,,,TXT,@,v=spf1 include:_spf.google.com ~all,,SPF
3,contractorops.eu,Cloudflare Registrar,,,TXT,google._domainkey,(DKIM key from Workspace),,DKIM
3,contractorops.eu,Cloudflare Registrar,,,TXT,_dmarc,v=DMARC1; p=none; rua=mailto:dmarc@contractor-ops.com; fo=1,,DMARC
3,contractorops.eu,Cloudflare Registrar,,,TXT,@,(Workspace verification),,Verification
3,contractorops.eu,Cloudflare Registrar,,,A,@,(301 to contractor-ops.com),,Web redirect
4,contractor-ops.com,KEEP AS BRAND DOMAIN,Primary brand + website only - do NOT send cold from this domain; protects reputation; deck and demo links host here,0,,,,,Existing domain - no new DNS for sending; ensure DMARC p=reject + SPF -all on brand domain to block spoofing
